batchnum,loss,cer,time
batch 8600, ctc loss: 0.988780, cer: 0.235772, time/batch:   0.736
batch 8700, ctc loss: 1.013506, cer: 0.237918, time/batch:   0.744
batch 8800, ctc loss: 1.017364, cer: 0.240023, time/batch:   0.728
batch 8900, ctc loss: 0.991365, cer: 0.239239, time/batch:   0.747
batch 9000, ctc loss: 1.016866, cer: 0.240353, time/batch:   0.736
batch 9100, ctc loss: 0.993422, cer: 0.238042, time/batch:   0.729
batch 9200, ctc loss: 1.004942, cer: 0.240312, time/batch:   0.720
batch 9300, ctc loss: 1.013706, cer: 0.237299, time/batch:   0.739
batch 9400, ctc loss: 1.025837, cer: 0.235277, time/batch:   0.741
batch 9500, ctc loss: 1.003298, cer: 0.238249, time/batch:   0.741
batch 9600, ctc loss: 1.018435, cer: 0.236598, time/batch:   0.739
batch 9700, ctc loss: 1.004789, cer: 0.238579, time/batch:   0.731
batch 9800, ctc loss: 1.012466, cer: 0.237176, time/batch:   0.735
batch 9900, ctc loss: 1.020331, cer: 0.236639, time/batch:   0.741
