batchnum,loss,cer,time
batch 8700, ctc loss: 0.905097, cer: 0.238991, time/batch:   0.751
batch 8800, ctc loss: 0.902843, cer: 0.238042, time/batch:   0.736
batch 8900, ctc loss: 0.888402, cer: 0.237134, time/batch:   0.756
batch 9000, ctc loss: 0.914498, cer: 0.238166, time/batch:   0.745
batch 9100, ctc loss: 0.912350, cer: 0.235566, time/batch:   0.739
batch 9200, ctc loss: 0.906699, cer: 0.239487, time/batch:   0.733
batch 9300, ctc loss: 0.919226, cer: 0.238207, time/batch:   0.748
batch 9400, ctc loss: 0.914337, cer: 0.235979, time/batch:   0.750
batch 9500, ctc loss: 0.911276, cer: 0.237010, time/batch:   0.747
batch 9600, ctc loss: 0.906540, cer: 0.233750, time/batch:   0.751
batch 9700, ctc loss: 0.915918, cer: 0.235814, time/batch:   0.743
batch 9800, ctc loss: 0.911399, cer: 0.235896, time/batch:   0.746
batch 9900, ctc loss: 0.912105, cer: 0.236103, time/batch:   0.751
batch 10000, ctc loss: 0.920269, cer: 0.237960, time/batch:   0.761
batch 10100, ctc loss: 0.930052, cer: 0.237629, time/batch:   0.748
batch 10200, ctc loss: 0.908625, cer: 0.236969, time/batch:   0.757
batch 10300, ctc loss: 0.909816, cer: 0.237299, time/batch:   0.771
batch 10400, ctc loss: 0.906414, cer: 0.236020, time/batch:   0.753
batch 10500, ctc loss: 0.922920, cer: 0.235690, time/batch:   0.742
batch 10600, ctc loss: 0.917048, cer: 0.234617, time/batch:   0.729
batch 10700, ctc loss: 0.920544, cer: 0.236598, time/batch:   0.745
batch 10800, ctc loss: 0.908675, cer: 0.235772, time/batch:   0.766
batch 10900, ctc loss: 0.915591, cer: 0.235814, time/batch:   0.731
batch 11000, ctc loss: 0.915068, cer: 0.237217, time/batch:   0.755
batch 11100, ctc loss: 0.921096, cer: 0.233750, time/batch:   0.743
batch 11200, ctc loss: 0.920988, cer: 0.231976, time/batch:   0.746
batch 11300, ctc loss: 0.924276, cer: 0.233131, time/batch:   0.750
batch 11400, ctc loss: 0.914673, cer: 0.235772, time/batch:   0.758
batch 11500, ctc loss: 0.927985, cer: 0.234245, time/batch:   0.745
batch 11600, ctc loss: 0.929632, cer: 0.235525, time/batch:   0.753
batch 11700, ctc loss: 0.931863, cer: 0.237753, time/batch:   0.773
batch 11800, ctc loss: 0.934397, cer: 0.236020, time/batch:   0.764
batch 11900, ctc loss: 0.931276, cer: 0.234122, time/batch:   0.737
batch 12000, ctc loss: 0.937192, cer: 0.235277, time/batch:   0.779
batch 12100, ctc loss: 0.967025, cer: 0.237506, time/batch:   0.755
batch 12200, ctc loss: 0.939016, cer: 0.237753, time/batch:   0.751
batch 12300, ctc loss: 0.937923, cer: 0.237217, time/batch:   0.748
batch 12400, ctc loss: 0.956441, cer: 0.238744, time/batch:   0.753
batch 12500, ctc loss: 0.937888, cer: 0.233791, time/batch:   0.747
batch 12600, ctc loss: 0.934834, cer: 0.232842, time/batch:   0.747
batch 12700, ctc loss: 0.934208, cer: 0.234534, time/batch:   0.758
batch 12800, ctc loss: 0.918014, cer: 0.231852, time/batch:   0.738
batch 12900, ctc loss: 0.928480, cer: 0.231687, time/batch:   0.766
batch 13000, ctc loss: 0.936951, cer: 0.232512, time/batch:   0.751
batch 13100, ctc loss: 0.941017, cer: 0.233172, time/batch:   0.752
batch 13200, ctc loss: 0.936379, cer: 0.231893, time/batch:   0.741
batch 13300, ctc loss: 0.931077, cer: 0.233420, time/batch:   0.748
batch 13400, ctc loss: 0.928009, cer: 0.231645, time/batch:   0.745
batch 13500, ctc loss: 0.944655, cer: 0.234617, time/batch:   0.744
batch 13600, ctc loss: 0.936806, cer: 0.233420, time/batch:   0.736
batch 13700, ctc loss: 0.937340, cer: 0.231439, time/batch:   0.743
batch 13800, ctc loss: 0.943930, cer: 0.230820, time/batch:   0.754
batch 13900, ctc loss: 0.955748, cer: 0.237588, time/batch:   0.772
batch 14000, ctc loss: 0.946834, cer: 0.233833, time/batch:   0.742
batch 14100, ctc loss: 0.939521, cer: 0.230944, time/batch:   0.769
batch 14200, ctc loss: 0.951414, cer: 0.234287, time/batch:   0.738
batch 14300, ctc loss: 0.950768, cer: 0.231728, time/batch:   0.745
batch 14400, ctc loss: 0.951473, cer: 0.233461, time/batch:   0.757
batch 14500, ctc loss: 0.935033, cer: 0.233255, time/batch:   0.762
batch 14600, ctc loss: 0.944493, cer: 0.232388, time/batch:   0.752
batch 14700, ctc loss: 0.953344, cer: 0.236680, time/batch:   0.771
batch 14800, ctc loss: 0.956428, cer: 0.232553, time/batch:   0.745
batch 14900, ctc loss: 0.949793, cer: 0.230779, time/batch:   0.753
batch 15000, ctc loss: 0.951837, cer: 0.231191, time/batch:   0.762
batch 15100, ctc loss: 0.952596, cer: 0.234947, time/batch:   0.743
batch 15200, ctc loss: 0.966955, cer: 0.233007, time/batch:   0.730
batch 15300, ctc loss: 0.961617, cer: 0.233007, time/batch:   0.743
batch 15400, ctc loss: 0.943679, cer: 0.235030, time/batch:   0.761
batch 15500, ctc loss: 0.960111, cer: 0.232801, time/batch:   0.753
batch 15600, ctc loss: 0.958486, cer: 0.233585, time/batch:   0.738
batch 15700, ctc loss: 0.964257, cer: 0.234410, time/batch:   0.737
batch 15800, ctc loss: 0.968292, cer: 0.232099, time/batch:   0.731
batch 15900, ctc loss: 0.975810, cer: 0.233337, time/batch:   0.740
batch 16000, ctc loss: 0.956628, cer: 0.234658, time/batch:   0.751
batch 16100, ctc loss: 0.981344, cer: 0.231357, time/batch:   0.747
batch 16200, ctc loss: 0.971418, cer: 0.230985, time/batch:   0.760
batch 16300, ctc loss: 0.958849, cer: 0.232223, time/batch:   0.760
batch 16400, ctc loss: 0.964004, cer: 0.234163, time/batch:   0.752
batch 16500, ctc loss: 0.954679, cer: 0.230325, time/batch:   0.750
batch 16600, ctc loss: 0.951601, cer: 0.230449, time/batch:   0.743
batch 16700, ctc loss: 0.958408, cer: 0.231934, time/batch:   0.755
batch 16800, ctc loss: 0.956554, cer: 0.234122, time/batch:   0.748
batch 16900, ctc loss: 0.968997, cer: 0.232471, time/batch:   0.752
batch 17000, ctc loss: 0.962982, cer: 0.233503, time/batch:   0.738
batch 17100, ctc loss: 0.963044, cer: 0.230366, time/batch:   0.743
batch 17200, ctc loss: 0.969633, cer: 0.232141, time/batch:   0.746
batch 17300, ctc loss: 0.977766, cer: 0.233214, time/batch:   0.748
batch 17400, ctc loss: 0.972077, cer: 0.231191, time/batch:   0.756
batch 17500, ctc loss: 0.979703, cer: 0.233049, time/batch:   0.738
batch 17600, ctc loss: 0.976915, cer: 0.233296, time/batch:   0.753
batch 17700, ctc loss: 0.981146, cer: 0.232223, time/batch:   0.742
batch 17800, ctc loss: 0.983007, cer: 0.234328, time/batch:   0.740
batch 17900, ctc loss: 0.982102, cer: 0.232471, time/batch:   0.741
batch 18000, ctc loss: 0.972405, cer: 0.231398, time/batch:   0.757
batch 18100, ctc loss: 0.975327, cer: 0.229747, time/batch:   0.750
