batchnum,loss,cer,time
batch 8600, ctc loss: 0.986750, cer: 0.238083, time/batch:   0.749
batch 8700, ctc loss: 0.982336, cer: 0.239775, time/batch:   0.760
batch 8800, ctc loss: 0.983115, cer: 0.238455, time/batch:   0.751
batch 8900, ctc loss: 0.983853, cer: 0.237134, time/batch:   0.749
batch 9000, ctc loss: 0.974881, cer: 0.236144, time/batch:   0.762
batch 9100, ctc loss: 0.984107, cer: 0.236226, time/batch:   0.763
batch 9200, ctc loss: 0.987556, cer: 0.237258, time/batch:   0.756
batch 9300, ctc loss: 0.978271, cer: 0.237464, time/batch:   0.756
batch 9400, ctc loss: 0.989167, cer: 0.237010, time/batch:   0.748
batch 9500, ctc loss: 0.987402, cer: 0.237010, time/batch:   0.750
batch 9600, ctc loss: 0.988382, cer: 0.237918, time/batch:   0.760
batch 9700, ctc loss: 0.995755, cer: 0.236845, time/batch:   0.753
batch 9800, ctc loss: 0.992249, cer: 0.238537, time/batch:   0.764
batch 9900, ctc loss: 1.016775, cer: 0.239858, time/batch:   0.758
batch 10000, ctc loss: 1.007478, cer: 0.238661, time/batch:   0.749
batch 10100, ctc loss: 1.013777, cer: 0.238207, time/batch:   0.755
batch 10200, ctc loss: 0.997291, cer: 0.236020, time/batch:   0.751
batch 10300, ctc loss: 1.009785, cer: 0.238579, time/batch:   0.765
batch 10400, ctc loss: 1.007137, cer: 0.238125, time/batch:   0.751
batch 10500, ctc loss: 1.014850, cer: 0.238166, time/batch:   0.741
batch 10600, ctc loss: 1.008048, cer: 0.237836, time/batch:   0.748
batch 10700, ctc loss: 1.004858, cer: 0.236804, time/batch:   0.761
batch 10800, ctc loss: 1.009826, cer: 0.236020, time/batch:   0.758
batch 10900, ctc loss: 1.024156, cer: 0.238826, time/batch:   0.748
batch 11000, ctc loss: 1.020487, cer: 0.236928, time/batch:   0.753
batch 11100, ctc loss: 1.026881, cer: 0.238826, time/batch:   0.758
batch 11200, ctc loss: 1.018023, cer: 0.238661, time/batch:   0.741
batch 11300, ctc loss: 1.031965, cer: 0.236928, time/batch:   0.739
batch 11400, ctc loss: 1.032099, cer: 0.237341, time/batch:   0.736
batch 11500, ctc loss: 1.030158, cer: 0.236350, time/batch:   0.767
batch 11600, ctc loss: 1.029486, cer: 0.239198, time/batch:   0.757
batch 11700, ctc loss: 1.027885, cer: 0.235690, time/batch:   0.747
batch 11800, ctc loss: 1.035117, cer: 0.235401, time/batch:   0.750
batch 11900, ctc loss: 1.038063, cer: 0.237093, time/batch:   0.756
batch 12000, ctc loss: 1.035149, cer: 0.237877, time/batch:   0.760
batch 12100, ctc loss: 1.021823, cer: 0.234204, time/batch:   0.746
batch 12200, ctc loss: 1.046444, cer: 0.233791, time/batch:   0.764
batch 12300, ctc loss: 1.040716, cer: 0.235071, time/batch:   0.743
batch 12400, ctc loss: 1.037355, cer: 0.235855, time/batch:   0.759
batch 12500, ctc loss: 1.042500, cer: 0.238702, time/batch:   0.734
