batchnum,loss,cer,time
batch 8600, ctc loss: 0.986781, cer: 0.237423, time/batch:   0.751
batch 8700, ctc loss: 0.981249, cer: 0.239239, time/batch:   0.760
batch 8800, ctc loss: 0.990935, cer: 0.238331, time/batch:   0.751
batch 8900, ctc loss: 0.999096, cer: 0.238744, time/batch:   0.748
batch 9000, ctc loss: 0.994392, cer: 0.237918, time/batch:   0.761
batch 9100, ctc loss: 1.006947, cer: 0.238207, time/batch:   0.761
batch 9200, ctc loss: 0.988196, cer: 0.238909, time/batch:   0.755
batch 9300, ctc loss: 1.003953, cer: 0.238083, time/batch:   0.757
batch 9400, ctc loss: 0.992896, cer: 0.235195, time/batch:   0.748
batch 9500, ctc loss: 1.006305, cer: 0.235401, time/batch:   0.753
batch 9600, ctc loss: 0.994640, cer: 0.236639, time/batch:   0.762
batch 9700, ctc loss: 1.004202, cer: 0.239280, time/batch:   0.753
batch 9800, ctc loss: 0.998726, cer: 0.236804, time/batch:   0.765
batch 9900, ctc loss: 1.007451, cer: 0.236598, time/batch:   0.759
batch 10000, ctc loss: 1.011735, cer: 0.237753, time/batch:   0.750
batch 10100, ctc loss: 1.011697, cer: 0.238083, time/batch:   0.754
batch 10200, ctc loss: 0.999857, cer: 0.238661, time/batch:   0.752
batch 10300, ctc loss: 0.998368, cer: 0.235525, time/batch:   0.762
batch 10400, ctc loss: 0.998070, cer: 0.236556, time/batch:   0.751
